konu_sayisi,coherence
3,0.4436868710391613
4,0.4627209564164135
5,0.4492289620438033
6,0.4943041963232371
7,0.47190147181352854
8,0.40584644821014254
9,0.44947455426697425
10,0.45316845767221603
